epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,47705,0.99294,0.82353,1.19902,0.82498,0.73528,0.82478,0.6068,0.87912,0.63645,1.10186,0.005842,0.005842,0.005842
44,48812,0.99239,0.8215,1.1993,0.82835,0.73264,0.82492,0.60752,0.87877,0.63601,1.10201,0.005743,0.005743,0.005743
45,49918.2,0.98995,0.8202,1.19875,0.82853,0.73329,0.82549,0.60821,0.878,0.63565,1.10093,0.005644,0.005644,0.005644
46,51026.6,0.98637,0.81632,1.19776,0.82445,0.73581,0.82575,0.60773,0.87744,0.63471,1.10061,0.005545,0.005545,0.005545
47,52134.9,0.98716,0.81617,1.19681,0.82505,0.73714,0.82653,0.60877,0.87689,0.63442,1.10072,0.005446,0.005446,0.005446
48,53242.3,0.98326,0.8137,1.19367,0.82722,0.73555,0.82698,0.60905,0.87682,0.63341,1.10056,0.005347,0.005347,0.005347
49,54348.9,0.98505,0.81042,1.19361,0.82617,0.73446,0.82705,0.6092,0.87622,0.63224,1.10049,0.005248,0.005248,0.005248
50,55457,0.98147,0.8085,1.18838,0.82338,0.73737,0.82726,0.60934,0.87561,0.63239,1.09969,0.005149,0.005149,0.005149
51,56565.2,0.97717,0.805,1.19259,0.82807,0.73373,0.82803,0.60969,0.87687,0.63204,1.10138,0.00505,0.00505,0.00505
52,57673.1,0.97742,0.80055,1.18884,0.82665,0.73673,0.8282,0.61016,0.87613,0.63002,1.1012,0.004951,0.004951,0.004951
53,58779.6,0.97588,0.7983,1.18691,0.82756,0.73782,0.82825,0.61069,0.87607,0.62839,1.10098,0.004852,0.004852,0.004852
54,59887.6,0.97213,0.79493,1.18588,0.83061,0.73691,0.82881,0.61101,0.87616,0.62735,1.10065,0.004753,0.004753,0.004753
55,60996.9,0.9702,0.79153,1.18355,0.83072,0.7361,0.82948,0.61162,0.87452,0.62574,1.10004,0.004654,0.004654,0.004654
56,62103.4,0.96638,0.78742,1.18211,0.83358,0.73346,0.83026,0.61237,0.87338,0.625,1.09905,0.004555,0.004555,0.004555
57,63211.2,0.96615,0.78787,1.18449,0.83055,0.73719,0.83025,0.61292,0.87342,0.62498,1.09963,0.004456,0.004456,0.004456
58,64318.7,0.96464,0.78459,1.17974,0.82647,0.73982,0.83075,0.61374,0.87272,0.62314,1.09893,0.004357,0.004357,0.004357
59,65426.7,0.96124,0.78187,1.17812,0.82686,0.73998,0.83077,0.61451,0.87157,0.62199,1.0981,0.004258,0.004258,0.004258
60,66532.9,0.95956,0.77815,1.17491,0.82936,0.74009,0.83151,0.61492,0.87113,0.62152,1.09744,0.004159,0.004159,0.004159
61,67640.3,0.95503,0.77421,1.17589,0.82818,0.74116,0.8322,0.61495,0.86946,0.62072,1.09677,0.00406,0.00406,0.00406
62,68747,0.95437,0.77009,1.17486,0.83693,0.7341,0.83239,0.61592,0.868,0.62059,1.09612,0.003961,0.003961,0.003961
63,69854.1,0.95177,0.76969,1.17353,0.83458,0.73634,0.83203,0.61558,0.86758,0.61941,1.09576,0.003862,0.003862,0.003862
64,70960.2,0.94891,0.76613,1.17059,0.8282,0.7417,0.83248,0.61615,0.86689,0.61976,1.09523,0.003763,0.003763,0.003763
65,72067.2,0.94765,0.7626,1.16495,0.83147,0.73955,0.83285,0.61649,0.86615,0.61874,1.09344,0.003664,0.003664,0.003664
66,73174.6,0.94501,0.75961,1.16678,0.83321,0.73725,0.8324,0.61677,0.86468,0.61738,1.0927,0.003565,0.003565,0.003565
67,74282.3,0.94333,0.75778,1.16434,0.83074,0.74086,0.83234,0.61729,0.86358,0.61672,1.09179,0.003466,0.003466,0.003466
68,75388.5,0.93834,0.75102,1.1615,0.82979,0.74164,0.83277,0.61761,0.86247,0.6162,1.09017,0.003367,0.003367,0.003367
69,76495.1,0.93644,0.74976,1.16014,0.83001,0.74209,0.83345,0.61831,0.8624,0.61597,1.08995,0.003268,0.003268,0.003268
